Price,Car Name,Region,Condition,Mileage,Year,Color,Brand,Log_Price
92250000.0,Lexus LX,Lagos State,Local Used,68739.0,2017,Black,Lexus,18.340012851725017
7875000.0,Toyota Camry,Lagos State,Local Used,283144.0,2008,Black,Toyota,15.87920386966009
5400000.0,Honda CR-V,Rivers State,Local Used,157250.0,2007,Gold,Honda,15.50190969671967
5625000.0,Toyota Camry,Lagos State,Local Used,348861.0,2002,Silver,Toyota,15.54273168383252
7312500.0,Mazda 5,Rivers State,Local Used,205371.0,2006,Gray,Mazda,15.805095907274376
5062500.0,Mercedes-Benz E220,Abuja (FCT),Local Used,222405.0,2003,White,Mercedes-Benz,15.437371187927775
10687500.0,Honda CR-V,Lagos State,Local Used,126803.0,2012,Gray,Honda,16.1845854857944
5625000.0,Hyundai Accent,Abuja (FCT),Local Used,225426.0,2013,Blue,Hyundai,15.54273168383252
4455000.0,Toyota Corolla LE,Rivers State,Local Used,207585.0,2004,Gray,Toyota,15.309537843353912
5532187.0,Honda Accord Crosstour,Lagos State,Local Used,237567.0,2010,Red,Honda,15.526093955281892
28125000.0,Mercedes-Benz CLS,Lagos State,Local Used,169944.0,2012,White,Mercedes-Benz,17.15216945404441
6209998.0,Toyota Camry,Lagos State,Local Used,507746.0,2007,Silver,Toyota,15.641671292879053
7875000.0,Nissan Maxima,Lagos State,Local Used,174270.0,2013,Black,Nissan,15.87920386966009
6075000.0,Lexus GS,Rivers State,Local Used,80025.0,2008,Black,Lexus,15.619692711799926
6187500.0,Kia Optima,Abuja (FCT),Local Used,233372.0,2007,Black,Kia,15.63804184747523
5062500.0,Kia Sorento,Lagos State,Local Used,120811.0,2009,Silver,Kia,15.437371187927775
7087500.0,Toyota RAV4,Lagos State,Local Used,198870.0,2010,Red,Toyota,15.773843368111608
2812500.0,Nissan Sentra,Lagos State,Local Used,191306.0,2005,Silver,Nissan,14.849584681050304
3870000.0,Toyota Camry,Lagos State,Local Used,452644.0,2003,Green,Toyota,15.168765323403864
4556250.0,Toyota 4-Runner Limited V6 4x4,Lagos State,Local Used,211107.0,2005,Blue,Toyota,15.33201069421782
84375000.0,Land Rover Range Rover,Lagos State,Foreign Used,54226.0,2018,Gray,Land,18.25078171900882
4950000.0,Toyota Corolla,Lagos State,Local Used,482800.0,2005,Red,Toyota,15.414898336565054
9562500.0,Infiniti M,Abuja (FCT),Local Used,143007.0,2008,Gray,Infiniti,16.073359861692087
8152031.0,Lexus ES 350,Imo State,Local Used,317202.0,2007,Black,Lexus,15.913777779294069
22500000.0,Toyota Avalon,Abuja (FCT),Foreign Used,104423.0,2015,Blue,Toyota,16.929025911619092
5962500.0,Toyota Sienna,Lagos State,Local Used,304093.0,2004,Gray,Toyota,15.601000581893604
10125000.0,Hyundai Sonata Hybrid,Lagos State,Local Used,226290.0,2014,White,Hyundai,16.130518269722305
33750000.0,BMW 6 Series,Oyo State,Foreign Used,81657.0,2016,Black,BMW,17.33449100491244
