Price,Car Name,Region,Condition,Mileage
"₦ 92,250,000",Lexus LX 2017 Black,"Lagos State, Ajah",Local Used,68739 km
"₦ 7,875,000",Toyota Camry 2008 Black,"Lagos State, Ajah",Local Used,283144 km
"₦ 5,400,000",Honda CR-V 2007 Gold,"Rivers State, Port-Harcourt",Local Used,157250 km
"₦ 5,625,000",Toyota Camry 2002 Silver,"Lagos State, Ikeja",Local Used,348861 km
"₦ 7,312,500",Mazda 5 2006 Gray,"Rivers State, Port-Harcourt",Local Used,205371 km
"₦ 5,062,500",Mercedes-Benz E220 2003 White,"Abuja (FCT), Gudu",Local Used,222405 km
"₦ 10,687,500",Honda CR-V 2012 Gray,"Lagos State, Ogudu",Local Used,126803 km
"₦ 5,625,000",Hyundai Accent 2013 Blue,"Abuja (FCT), Karu",Local Used,225426 km
"₦ 4,455,000",Toyota Corolla LE 2004 Gray,"Rivers State, Port-Harcourt",Local Used,207585 km
"₦ 5,532,187",Honda Accord Crosstour 2010 Red,"Lagos State, Ojodu",Local Used,237567 km
"₦ 28,125,000",Mercedes-Benz CLS 2012 White,"Lagos State, Ikeja",Local Used,169944 km
"₦ 6,209,998",Toyota Camry 2007 Silver,"Lagos State, Abule Egba",Local Used,507746 km
"₦ 7,875,000",Nissan Maxima 2013 Black,"Lagos State, Lekki",Local Used,174270 km
"₦ 6,075,000",Lexus GS 2008 Black,"Rivers State, Port-Harcourt",Local Used,80025 km
"₦ 6,187,500",Kia Optima 2007 Black,"Abuja (FCT), Central Business District",Local Used,233372 km
"₦ 5,062,500",Kia Sorento 2009 Silver,"Lagos State, Ikeja",Local Used,120811 km
"₦ 7,087,500",Toyota RAV4 2010 Red,"Lagos State, Magodo",Local Used,198870 km
"₦ 2,812,500",Nissan Sentra 2005 Silver,"Lagos State, Ikeja",Local Used,191306 km
"₦ 3,870,000",Toyota Camry 2003 Green,"Lagos State, Surulere",Local Used,452644 km
"₦ 4,556,250",Toyota 4-Runner Limited V6 4x4 2005 Blue,"Lagos State, Ilupeju",Local Used,211107 km
"₦ 84,375,000",Land Rover Range Rover 2018 Gray,"Lagos State, Ikoyi",Foreign Used,54226 km
"₦ 4,950,000",Toyota Corolla 2005 Red,"Lagos State, Ikeja",Local Used,482800 km
"₦ 9,562,500",Infiniti M 2008 Gray,"Abuja (FCT), Jabi",Local Used,143007 km
"₦ 8,152,031",Lexus ES 350 2007 Black,"Imo State, Owerri",Local Used,317202 km
"₦ 22,500,000",Toyota Avalon 2015 Blue,"Abuja (FCT), Gudu",Foreign Used,104423 km
"₦ 5,962,500",Toyota Sienna 2004 Gray,"Lagos State, Ogudu",Local Used,304093 km
"₦ 10,125,000",Hyundai Sonata Hybrid 2014 White,"Lagos State, Ikotun/Igando",Local Used,226290 km
"₦ 33,750,000",BMW 6 Series 2016 Black,"Oyo State, Ibadan",Foreign Used,81657 km
"₦ 2,475,000",Honda Accord 2004 Gray,"Oyo State, Ibadan",Local Used,157813 km
"₦ 7,601,625",Toyota Camry 2010 Black,"Abuja (FCT), Gwarinpa",Local Used,349724 km
"₦ 7,264,687",Lexus IS 250 AWD 2006 Silver,"Lagos State, Ojodu",Local Used,196260 km
"₦ 5,062,500",Toyota Camry 2005 Gold,"Delta State, Oshimili South",Local Used,244592 km
"₦ 20,250,000",Toyota Sienna 2013 Gray,"Lagos State, Amuwo-Odofin",Foreign Used,267522 km
"₦ 6,570,000",Toyota Corolla 2010 Black,"Lagos State, Ilupeju",Local Used,135093 km
"₦ 6,300,000",Mercedes-Benz C300 2008 Silver,"Delta State, Oshimili South",Local Used,109639 km
"₦ 9,000,000",Lexus ES 2007 Black,"Lagos State, Ikorodu",Local Used,
"₦ 16,312,500",Toyota Camry 2012 Silver,"Oyo State, Ibadan",Foreign Used,419247 km
"₦ 20,250,000",Infiniti Q50 2014 Gray,"Lagos State, Ikeja",Foreign Used,288100 km
"₦ 14,625,000",Peugeot 508 2016 Black,"Abuja (FCT), Jabi",Foreign Used,82908 km
"₦ 9,562,500",Honda Civic 2013 Black,"Abuja (FCT), Wuse",Local Used,125794 km
"₦ 3,375,000",Honda Accord 2003 Silver,"Lagos State, Mushin",Local Used,327874 km
"₦ 3,712,500",Honda Pilot 2005 Silver,"Abuja (FCT), Jabi",Local Used,261470 km
"₦ 26,775,000",Mercedes-Benz GLA-Class 2015 Gray,"Lagos State, Ikeja",Foreign Used,116664 km
